Species,Phonotypes,RMSE.A,Res.B
12,9,1.531061408,0.174890446
13,9,2.038633584,0.207566153
14,9,2.55873687,0.233896034
15,9,3.087472993,0.255302141
16,9,3.621071061,0.274844371
17,9,4.16120304,0.290274203
18,9,4.706388484,0.304335335
19,9,5.246899478,0.319600245
20,9,5.797132028,0.330487755
21,9,6.345556034,0.34097302
22,9,6.896880882,0.349696755
23,9,7.450873037,0.36061745
24,9,8.009131145,0.367853198
25,9,8.569255176,0.375188102
26,9,9.114692031,0.384223976
27,9,9.679854699,0.389961439
28,9,10.24613499,0.395645107
29,9,10.79975845,0.402018063
30,9,11.37569469,0.406491435
31,9,11.93394277,0.411949576
32,9,12.49147463,0.418266133
33,9,13.0505371,0.424214068
34,9,13.61639123,0.42798383
35,9,14.18908619,0.431203159
36,9,14.74577512,0.439575977
37,9,15.30049675,0.443854663
38,9,15.86450105,0.447834184
39,9,16.45454358,0.44921255
40,9,17.01814973,0.451508048
41,9,17.56686557,0.458300083
42,9,18.14877366,0.458814159
43,9,18.71522762,0.462643487
44,9,19.27575425,0.467429843
45,9,19.86927315,0.4678253
46,9,20.41708754,0.473300609
47,9,20.9837583,0.474648931
48,9,21.54978214,0.479425563
49,9,22.1184756,0.481712713
50,9,22.69921851,0.485521621
10,10,0,0
11,10,0.561888133,0.071407052
12,10,1.038955097,0.120694946
13,10,1.535290089,0.157920737
14,10,2.043117382,0.187856235
15,10,2.564185091,0.2120313
16,10,3.089943376,0.232725024
17,10,3.628260323,0.249038546
18,10,4.161887506,0.265426332
19,10,4.707996591,0.277810679
20,10,5.256859304,0.290311036
21,10,5.801848042,0.301674624
22,10,6.351904226,0.311268302
23,10,6.898358076,0.320867986
24,10,7.461780897,0.328465711
25,10,8.010672314,0.337319
26,10,8.561814407,0.34592953
27,10,9.134461942,0.350544232
28,10,9.689171667,0.357218122
29,10,10.2415945,0.363424224
30,10,10.80795167,0.369832296
31,10,11.37887985,0.373891123
32,10,11.93293546,0.380182085
33,10,12.48892537,0.386496723
34,10,13.05310501,0.391618404
35,10,13.60362654,0.397990566
36,10,14.19057078,0.396641642
37,10,14.74024381,0.404472489
38,10,15.30685209,0.408209419
39,10,15.88691231,0.409636451
40,10,16.46361923,0.412601313
41,10,17.03070152,0.415614224
42,10,17.57898357,0.420734811
43,10,18.15302704,0.424573264
44,10,18.72207611,0.427476993
45,10,19.28340752,0.432525798
46,10,19.86826227,0.433038338
47,10,20.42902488,0.435790593
48,10,20.98119944,0.440870221
49,10,21.55158245,0.443038274
50,10,22.14212179,0.445005846
11,11,0,0
12,11,0.564099525,0.064285985
13,11,1.04277593,0.109418858
14,11,1.539994476,0.14353577
15,11,2.047132716,0.171471535
16,11,2.571796218,0.193195594
17,11,3.094852999,0.212868398
18,11,3.632914748,0.228302803
19,11,4.168725715,0.243112017
20,11,4.711859082,0.255406374
21,11,5.263386563,0.266618268
22,11,5.815216976,0.275701034
23,11,6.358582233,0.286581653
24,11,6.910429066,0.295038302
25,11,7.46268233,0.304025076
26,11,8.013924566,0.310994669
27,11,8.569031216,0.31914894
28,11,9.136122821,0.323132187
29,11,9.69936136,0.329954622
30,11,10.2522079,0.337248525
31,11,10.81614538,0.341433186
32,11,11.36594736,0.347008327
33,11,11.93660068,0.351126802
34,11,12.49496872,0.3561375
35,11,13.05170393,0.362353034
36,11,13.62941686,0.365667688
37,11,14.19050398,0.369102456
38,11,14.75068754,0.372782462
39,11,15.31266823,0.376630228
40,11,15.8894084,0.380474676
41,11,16.44433055,0.385622424
42,11,17.0112505,0.38763959
43,11,17.59688402,0.389708984
44,11,18.16311416,0.392765509
45,11,18.71744117,0.396857091
46,11,19.28893241,0.400242274
47,11,19.84502788,0.402565336
48,11,20.4136538,0.405541313
49,11,20.98863283,0.407781562
50,11,21.55416941,0.410982681
12,12,0,0
13,12,0.565050416,0.058702429
14,12,1.045176504,0.100270895
15,12,1.542303438,0.131904525
16,12,2.053899458,0.156757656
17,12,2.572923231,0.178209128
18,12,3.10798723,0.194466693
19,12,3.634403977,0.211351381
20,12,4.16892943,0.22545246
21,12,4.715717382,0.236690202
22,12,5.262892607,0.247430857
23,12,5.815419497,0.256357567
24,12,6.367814305,0.263925084
25,12,6.9129356,0.274478713
26,12,7.471970868,0.280593916
27,12,8.02174056,0.288532533
28,12,8.576475407,0.294689254
29,12,9.134982882,0.300645278
30,12,9.685331491,0.308168105
31,12,10.25382698,0.312267716
32,12,10.80771666,0.318264762
33,12,11.38759517,0.321572939
34,12,11.94756355,0.327365612
35,12,12.51220632,0.330443812
36,12,13.06330008,0.335828733
37,12,13.63103117,0.338418788
38,12,14.20173151,0.343119285
39,12,14.74786501,0.348365044
40,12,15.31213614,0.353570683
41,12,15.8790262,0.355677282
42,12,16.45473372,0.358225353
43,12,17.00403888,0.362409824
44,12,17.58847802,0.36352862
45,12,18.1426455,0.366681276
46,12,18.73511662,0.369060405
47,12,19.29107027,0.372459023
48,12,19.84731795,0.377216693
49,12,20.4419153,0.37822424
50,12,21.01192447,0.379268907
13,13,0,0
14,13,0.56533508,0.054153737
15,13,1.04544055,0.092793559
16,13,1.541950746,0.122502734
17,13,2.056816842,0.145417669
18,13,2.577564039,0.16478853
19,13,3.103999697,0.181678607
20,13,3.640912802,0.195746767
21,13,4.177213382,0.208702575
22,13,4.721782908,0.220091038
23,13,5.262870694,0.231016563
24,13,5.814026358,0.2384577
25,13,6.361267901,0.248420021
26,13,6.913137591,0.255348076
27,13,7.472482348,0.262671814
28,13,8.020748277,0.269597788
29,13,8.592570182,0.274533591
30,13,9.131002491,0.283004802
31,13,9.697477018,0.286835549
32,13,10.2625071,0.29156668
33,13,10.81743994,0.297253222
34,13,11.37303687,0.301819565
35,13,11.93885282,0.305526039
36,13,12.50170943,0.310105149
37,13,13.06744039,0.31429985
38,13,13.63200865,0.317699249
39,13,14.19737464,0.323982087
40,13,14.75473097,0.326745889
41,13,15.33206527,0.327388025
42,13,15.89065339,0.331304395
43,13,16.45595751,0.334112484
44,13,17.02950848,0.336992644
45,13,17.58464921,0.340782282
46,13,18.16641213,0.342247408
47,13,18.72496877,0.347012937
48,13,19.29093121,0.349912404
49,13,19.88522323,0.350525365
50,13,20.42188372,0.355690282
14,14,0,0
15,14,0.566271087,0.05008569
16,14,1.046324898,0.086301321
17,14,1.547931215,0.113201203
18,14,2.056941339,0.135697568
19,14,2.581277339,0.15356614
20,14,3.109657914,0.168912979
21,14,3.641225994,0.182990511
22,14,4.183616457,0.194257192
23,14,4.728109171,0.204672672
24,14,5.273157373,0.214734778
25,14,5.815663407,0.22374494
26,14,6.363768499,0.23201164
27,14,6.919357776,0.239316826
28,14,7.480962964,0.244144015
29,14,8.030334592,0.252579649
30,14,8.590365588,0.256504327
31,14,9.142860379,0.264166126
32,14,9.700894648,0.268540776
33,14,10.25770518,0.2745989
34,14,10.81956546,0.277515614
35,14,11.38822335,0.282225943
36,14,11.94669983,0.286771235
37,14,12.50225105,0.292255185
38,14,13.07240712,0.294927494
39,14,13.63108075,0.29916913
40,14,14.19719083,0.30289876
41,14,14.76431892,0.30510517
42,14,15.33531487,0.30910767
43,14,15.88814873,0.312545655
44,14,16.46434998,0.314836436
45,14,17.03288379,0.318504053
46,14,17.58492596,0.320913195
47,14,18.15448118,0.323996345
48,14,18.74069259,0.325111739
49,14,19.29013513,0.329743529
50,14,19.85855835,0.33224285
15,15,0,0
16,15,0.567533314,0.046511415
17,15,1.049133354,0.080168471
18,15,1.550648372,0.105609597
19,15,2.058612307,0.127122519
20,15,2.580683082,0.144486238
21,15,3.11227537,0.158330919
22,15,3.645541595,0.171689099
23,15,4.182124842,0.183004305
24,15,4.725183023,0.192879855
25,15,5.271585257,0.202626713
26,15,5.821749611,0.209945093
27,15,6.372050606,0.217310411
28,15,6.923791977,0.224795081
29,15,7.475050999,0.231006793
30,15,8.029945406,0.237579695
31,15,8.587214862,0.242048972
32,15,9.159304705,0.246018623
33,15,9.702948397,0.253398654
34,15,10.25644744,0.257893031
35,15,10.82273596,0.262360034
36,15,11.38584323,0.266068596
37,15,11.94222272,0.271719514
38,15,12.51116253,0.275209794
39,15,13.07792926,0.277877234
40,15,13.6568135,0.279596962
41,15,14.19770685,0.285529158
42,15,14.76600779,0.287434332
43,15,15.34563917,0.29063168
44,15,15.89525891,0.295048658
45,15,16.46471832,0.297891351
46,15,17.02777149,0.300664385
47,15,17.59461739,0.303068174
48,15,18.16645801,0.304636131
49,15,18.73179592,0.308405364
50,15,19.29946883,0.30955184
16,16,0,0
17,16,0.568106368,0.043459417
18,16,1.051652106,0.074690488
19,16,1.549464966,0.099308248
20,16,2.061548407,0.119238433
21,16,2.584620728,0.135507263
22,16,3.113392456,0.149091584
23,16,3.65324274,0.160566301
24,16,4.185286938,0.17259434
25,16,4.730476097,0.181432074
26,16,5.284013294,0.189058936
27,16,5.817270109,0.198727039
28,16,6.377447714,0.204827924
29,16,6.925171346,0.212267375
30,16,7.474654053,0.218829165
31,16,8.039928799,0.222898012
32,16,8.59733222,0.22889614
33,16,9.152564464,0.234682763
34,16,9.702852894,0.239451143
